,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
10,2019,31,DET,NFL,QB,8.0,8.0,3-4-1,187.0,291.0,64.3,2499.0,19.0,6.5,5.0,1.7,117.0,48.9,66.0,8.6,9.12,13.4,312.4,106.0,71.3,18.0,137.0,5.83,7.64,8.15,2.0,1.0,8.0,
11,2020,32,DET,NFL,QB,16.0,16.0,5-11-0,339.0,528.0,64.2,4084.0,26.0,4.9,10.0,1.9,205.0,47.9,73.0,7.7,7.87,12.0,255.3,96.3,61.3,38.0,254.0,6.71,6.77,6.89,3.0,4.0,13.0,
12,2021,33,LAR,NFL,QB,17.0,17.0,12-5-0,404.0,601.0,67.2,4886.0,41.0,6.8,17.0,2.8,233.0,52.6,79.0,8.1,8.22,12.1,287.4,102.9,69.2,30.0,243.0,4.75,7.36,7.45,3.0,4.0,15.0,
13,2022,34,LAR,NFL,QB,9.0,9.0,3-6-0,206.0,303.0,68.0,2087.0,10.0,3.3,8.0,2.6,105.0,49.7,75.0,6.9,6.36,10.1,231.9,87.4,52.3,29.0,208.0,8.73,5.66,5.18,0.0,0.0,7.0,
14,2023,35,LAR,NFL,QB,15.0,15.0,9-6-0,326.0,521.0,62.6,3965.0,24.0,4.6,11.0,2.1,187.0,47.5,80.0,7.6,7.58,12.2,264.3,92.5,63.5,30.0,205.0,5.44,6.82,6.8,1.0,2.0,13.0,"PB,AP MVP-8,AP CPoY-4"
15,2024,36,LAR,NFL,QB,16.0,16.0,10-6-0,340.0,517.0,65.8,3762.0,20.0,3.9,8.0,1.5,176.0,50.1,69.0,7.3,7.35,11.1,235.1,93.7,64.7,28.0,213.0,5.14,6.51,6.59,3.0,5.0,12.0,
16,16 Yrs,16 Yrs,16 Yrs,16 Yrs,,222.0,222.0,108-113-1,5174.0,8166.0,63.4,59809.0,377.0,4.6,188.0,2.3,2956.0,47.5,87.0,7.3,7.21,11.6,269.4,91.2,,502.0,3365.0,5.79,6.51,6.41,38.0,49.0,180.0,
17,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,108-113-1,396.0,625.0,63.4,4580.0,29.0,4.6,14.0,2.3,226.0,47.5,87.0,7.3,7.21,11.6,269.4,91.2,,38.0,258.0,5.79,6.51,6.41,3.0,4.0,14.0,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DET (12 Yrs),DET (12 Yrs),DET (12 Yrs),DET (12 Yrs),,165.0,165.0,74-90-1,3898.0,6224.0,62.6,45109.0,282.0,4.5,144.0,2.3,2255.0,46.6,87.0,7.2,7.11,11.6,273.4,89.9,,385.0,2496.0,5.83,6.45,6.32,31.0,38.0,133.0,
20,LAR (4 Yrs),LAR (4 Yrs),LAR (4 Yrs),LAR (4 Yrs),,57.0,57.0,34-23-0,1276.0,1942.0,65.7,14700.0,95.0,4.9,44.0,2.3,701.0,50.1,80.0,7.6,7.53,11.5,257.9,95.2,,117.0,869.0,5.68,6.72,6.68,7.0,11.0,47.0,
